,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory(in GB),Gpu,OpSys,Weight,Price
318,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128 SSD,Intel HD Graphics 620,Windows 10,1.5kg,29250.72
319,Dell,Workstation,15.6,Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,8GB,500 HDD,AMD FirePro W5130M,Windows 10,2.23kg,72940.32
320,Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8GB,256 SSD,Nvidia Quadro M1200,Windows 10,2kg,113752.8
321,Lenovo,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,512 SSD,Intel HD Graphics 620,Windows 10,1.42kg,133679.52
322,Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,55357.92
323,Acer,Notebook,15.6,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,12GB,1000 HDD,Nvidia GeForce MX130,Windows 10,2.2kg,36975.7872
324,MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,71874.72
325,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,AMD Radeon R7 M445,Linux,2.33kg,41498.1936
326,HP,Ultrabook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,256 SSD,AMD Radeon 520,Windows 10,1.91kg,26586.72
327,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,AMD Radeon RX 550,Windows 10,2.1kg,65510.9568
328,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.9kg,49976.64
329,Dell,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia Quadro M1200,Windows 10,1.78kg,144495.36
330,Lenovo,Ultrabook,14,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,16GB,1000 SSD,Intel HD Graphics 620,Windows 10,1.13kg,139860
331,Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1000 HDD,Intel HD Graphics 500,Windows 10,2.2kg,16303.68
332,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,Linux,2.5kg,46833.12
333,Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512 SSD,Intel HD Graphics 620,Windows 10,1.10kg,99793.44
334,Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512 SSD,Intel HD Graphics 520,Windows 10,1.2kg,93080.16
335,Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,512 SSD,Intel HD Graphics,Windows 10,1.36kg,89510.4
336,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,Windows 10,2.2kg,21791.52
337,Lenovo,Notebook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.15kg,16221.096
338,Lenovo,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,512 SSD,Nvidia Quadro M1200,Windows 10,2.67kg,102564
339,Lenovo,Ultrabook,14,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,8GB,512 SSD,Nvidia GeForce GT 940MX,Windows 10,1.7kg,103523.04
340,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1000 HDD,AMD Radeon 520,Windows 10,2.1kg,24988.32
341,Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,1.6kg,42038.4528
342,Asus,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.27kg,49443.84
343,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256 SSD,AMD Radeon R5 M430,Linux,2.3kg,31909.392
344,Dell,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,4GB,128 SSD,Intel HD Graphics 520,Windows 10,1.65kg,36709.92
345,HP,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,1.43kg,79920
346,Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.14kg,28768.536
347,Lenovo,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,AMD Radeon RX 550,Windows 10,1.75kg,64755.4464
348,Lenovo,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512 SSD,Nvidia GeForce GTX 1050,Windows 10,2kg,101178.72
349,Chuwi,Notebook,12.3,IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6GB,64 Flash Storage,Intel HD Graphics 500,Windows 10,1.4kg,23922.72
350,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,256 SSD,Intel HD Graphics 630,Windows 10,2.31kg,76030.56
351,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1000 HDD,Nvidia GeForce 940MX,Linux,2.3kg,31808.16
352,Dell,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256 SSD,Intel HD Graphics 620,Linux,1.6kg,58554.72
353,Mediacom,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32 SSD,Intel HD Graphics 500,Windows 10,1.16kg,15930.72
354,Samsung,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16 Flash Storage,Intel HD Graphics 400,Chrome OS,1.15kg,14332.32
355,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.4kg,53812.8
356,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,128 SSD,Intel HD Graphics 620,Windows 10,1.7kg,31914.72
357,Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16GB,512 SSD,Nvidia GeForce 940MX,Windows 10,2.3kg,130269.6
358,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,512 SSD,Nvidia Quadro M2200M,Windows 10,2.5kg,130482.72
359,HP,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500 HDD,Intel HD Graphics 400,Windows 10,2.1kg,18488.16
360,Google,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i7 7Y75 1.3GHz,16GB,512 SSD,Intel HD Graphics 615,Chrome OS,1.1kg,117162.72
361,Lenovo,Ultrabook,14,2560x1440,Intel Core i7 7500U 2.7GHz,24GB,512 SSD,Intel HD Graphics 620,Windows 10,1.32kg,126912.96
362,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256 SSD,Intel HD Graphics 620,Linux,2kg,29783.52
363,Lenovo,Notebook,17.3,1600x900,AMD A6-Series 9220 2.5GHz,8GB,1000 HDD,AMD Radeon R4,Windows 10,2.8kg,27652.32
364,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256 SSD,AMD Radeon 530,Windows 10,2.2kg,39906.72
365,Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.36kg,76137.12
366,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4GB,128 SSD,Intel HD Graphics 505,Windows 10,2.2kg,18594.72
367,Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256 SSD,Nvidia GeForce 930MX,Windows 10,1.64kg,62817.12
368,Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500 HDD,Intel HD Graphics 620,Linux,2.4kg,23539.104
369,MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256 SSD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,54757.9872
370,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,16GB,512 SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.25kg,137941.92
371,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128 SSD,Intel HD Graphics 620,Windows 10,1.91kg,31381.92
372,Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16GB,256 SSD,Nvidia Quadro M620,Windows 10,2.17kg,105228
373,HP,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,512 SSD,Intel HD Graphics 620,Windows 10,2.31kg,81731.52
374,Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.65kg,71661.6
375,Dell,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,500 HDD,Intel HD Graphics 405,Windows 10,1.47kg,25521.12
376,Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.7GHz,8GB,1000 HDD,Nvidia GeForce GTX 1060,Windows 10,4.42kg,109010.88
377,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core M m3-7Y30 2.2GHz,4GB,128 SSD,Intel HD Graphics 615,Windows 10 S,1.252kg,52693.92
378,Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,8GB,256 SSD,Intel Iris Plus Graphics 640,Windows 10 S,1.25kg,95850.72
379,HP,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 10,2.5kg,34093.872
380,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1000 HDD,Nvidia GeForce 940MX,Windows 10,2.23kg,28984.32
381,Acer,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128 SSD,Intel HD Graphics 400,Windows 10,1.4kg,23176.8
382,Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.37kg,39906.72
383,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512 SSD,AMD Radeon R7 M460,No OS,1.5kg,42570.72
384,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8GB,256 SSD,Nvidia Quadro M2200M,Windows 10,2.67kg,111355.2
385,Asus,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,500 HDD,Intel HD Graphics 500,Windows 10,2kg,16197.12
386,Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500 HDD,Nvidia GeForce GTX 940MX,Windows 10,2.2kg,24988.32
387,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,2000 HDD,AMD Radeon 530,Windows 10,2.02kg,40439.52
388,HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1000 HDD,Nvidia GeForce GTX 1060,Windows 10,3.78kg,90522.72
389,Lenovo,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,12GB,256 SSD,Intel HD Graphics 520,Windows 10,1.4kg,98994.24
390,HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8GB,512 SSD,Intel UHD Graphics 620,Windows 10,1.29kg,106506.72
391,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,500 HDD,AMD FirePro W4190M ,Windows 10,1.9kg,61485.12
392,Google,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8GB,128 SSD,Intel HD Graphics 615,Chrome OS,1.1kg,67932
393,Dell,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.42kg,98133.768
394,Dell,Notebook,14,1366x768,Intel Core i3 6100U 2.3GHz,8GB,128 SSD,Intel HD Graphics 520,Windows 10,1.79kg,39427.2
395,Dell,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia Quadro M1200,Windows 10,1.78kg,128298.24
396,Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,180 SSD,Intel HD Graphics 620,Windows 10,1.7kg,72673.92
397,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1000 HDD,AMD Radeon 520,Windows 10,2.2kg,35964
398,Toshiba,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.05kg,89084.16
399,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512 SSD,Nvidia GeForce 940MX,Windows 10,2.16kg,67239.36
400,Dell,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.18kg,31254.048
401,HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,128 SSD,Intel UHD Graphics 620,Windows 10,1.49kg,38681.28
402,Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4GB,64 Flash Storage,Intel HD Graphics,Windows 10,1.89kg,13261.392
403,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,128 SSD,Intel HD Graphics 520,Windows 10,2.3kg,30103.2
404,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.75kg,55890.72
405,Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16GB,512 SSD,Nvidia Quadro M620,Windows 10,2.17kg,124568.64
406,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512 SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,101178.72
407,Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512 SSD,Intel HD Graphics 620,Windows 10,1.36kg,95797.44
408,Asus,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512 SSD,Intel HD Graphics 620,Windows 10,0.91kg,103896
409,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Nvidia GeForce 940MX,Windows 10,2.3kg,53918.8272
410,Toshiba,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,32GB,512 SSD,Intel HD Graphics 620,Windows 10,1.05kg,149130.72
411,Acer,Notebook,15.6,1366x768,AMD A10-Series 9620P 2.5GHz,8GB,1000 HDD,AMD Radeon RX 540,Windows 10,2.2kg,30849.12
412,Lenovo,Ultrabook,12.5,IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,8GB,180 SSD,Intel HD Graphics 520,Windows 10,1.3kg,58554.72
413,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,2.17kg,47893.392
414,HP,Notebook,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,1000 SSD,Intel HD Graphics 620,Windows 10,1.48kg,93186.72
415,Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.4kg,50562.72
416,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,2.3kg,48538.08
417,Asus,Netbook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64 Flash Storage,Intel HD Graphics 500,Windows 10 S,1.2kg,18115.2
418,HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,AMD Radeon 520,Windows 10,1.91kg,32979.7872
419,Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.4kg,85194.72
420,Lenovo,Notebook,14,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,500 HDD,Intel HD Graphics 500,Windows 10,2.1kg,15930.72
421,Lenovo,Netbook,11.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,16 SSD,Intel HD Graphics 400,Chrome OS,1.25kg,14119.2
422,Lenovo,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.44kg,50562.72
423,Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,1000 HDD,Nvidia GeForce MX150,Windows 10,2.2kg,32660.64
424,HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512 SSD,Intel HD Graphics 620,Windows 10,1.34kg,70489.44
425,Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128 SSD,Intel HD Graphics 620,Windows 10,1.29kg,47898.72
426,Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,500 HDD,Nvidia GeForce 940MX,Windows 10,2.2kg,34045.92
427,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.18kg,44542.08
428,Xiaomi,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256 SSD,Nvidia GeForce MX150,No OS,1.95kg,74589.336
429,Asus,Netbook,11.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.1kg,13053.6
430,HP,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 8250U 1.6GHz,4GB,1000 HDD,Intel UHD Graphics 620,Windows 10,2.04kg,27783.9216
431,Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,24GB,512 SSD,Nvidia GeForce GTX1080,Windows 10,2.24kg,158135.04
432,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Nvidia GeForce 930MX,Windows 10,2.04kg,47365.92
433,HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.32kg,74538.72
434,Dell,Notebook,14,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.64kg,68184.0144
435,HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128 SSD,Intel HD Graphics 520,Windows 10,1.63kg,36709.92
436,Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256 SSD,Intel HD Graphics 520,Windows 7,2.02kg,71395.2
437,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,1000 HDD,Nvidia GeForce 920MX,Windows 10,2.2kg,42570.72
438,Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8GB,2000 HDD,Nvidia GeForce 920MX ,No OS,2.2kg,24455.52
439,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,500 HDD,AMD Radeon R5 M430,Windows 10,2.3kg,31168.8
440,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.9kg,73366.56
441,Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,500 HDD,Intel HD Graphics 620,Windows 10,2.0kg,45820.8
442,Mediacom,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Celeron Quad Core N3450 1.1GHz,4GB,32 SSD,Intel HD Graphics 500,Windows 10,1.2kg,19660.32
443,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8GB,256 SSD,Nvidia GeForce 930MX,Windows 10,1.93kg,72940.32
444,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256 SSD,AMD Radeon 530,Windows 10,2.2kg,42486.0048
445,HP,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N3710 1.6GHz,4GB,256 SSD,Intel HD Graphics 405,Windows 10,1.86kg,21258.1872
446,HP,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.62kg,95850.72
447,Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Nvidia GeForce 940MX,Windows 10,1.87kg,45767.52
448,Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 8550U 1.8GHz,8GB,256 SSD,Intel UHD Graphics 620,Windows 10,1.2kg,74538.72
449,Dell,Notebook,14,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128 SSD,Intel HD Graphics 520,Windows 10,1.6kg,39207.1536
450,HP,Ultrabook,13.3,IPS Panel Quad HD+ 3200x1800,Intel Core i7 7500U 2.7GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.34kg,61005.6
451,Acer,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1000 HDD,Nvidia GeForce GTX 1050,Linux,2.4kg,42517.44
452,Asus,Notebook,15.6,1366x768,AMD E-Series 7110 1.8GHz,4GB,500 HDD,AMD Radeon R2 Graphics,Windows 10,2kg,18594.72
453,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128 SSD,Intel HD Graphics 620,Windows 10,2.1kg,37589.04
454,Lenovo,Notebook,14,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,500 HDD,Intel HD Graphics 620,Windows 10,1.87kg,41824.8
455,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,1000 HDD,Intel HD Graphics 520,No OS,2.15kg,24634.008
456,HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500 HDD,Intel HD Graphics 520,Windows 10,1.86kg,21152.16
457,Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512 SSD,Intel HD Graphics 620,Windows 10,1.99kg,92121.12
458,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128 SSD,Intel HD Graphics 520,Windows 10,2.2kg,26586.72
459,Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256 SSD,Intel HD Graphics 620,Windows 10,1.9kg,59513.2272
460,HP,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8GB,1000 HDD,Intel HD Graphics 520,Windows 10,2.65kg,28992.312
461,HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1000 HDD,Nvidia GeForce 930MX,Windows 10,2.63kg,68198.4
462,Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,500 HDD,Intel HD Graphics 500,Linux,2kg,11934.72
463,Mediacom,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4GB,32 Flash Storage,Intel HD Graphics,Windows 10,1.35kg,13586.4
464,HP,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,6GB,128 SSD,AMD Radeon 530,Windows 10,1.91kg,30310.992
465,Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1000 HDD,AMD Radeon R5 M420,Windows 10,2.18kg,32921.712
466,Acer,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 2.0GHz,4GB,32 Flash Storage,Intel HD Graphics 500,Windows 10,1.25kg,18594.72
467,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,128 SSD,Intel HD Graphics 620,Windows 10,2.05kg,33566.4
468,HP,Ultrabook,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core M 6Y75 1.2GHz,16GB,512 SSD,Intel HD Graphics 515,Windows 10,1.16kg,104695.2
469,Lenovo,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256 SSD,Nvidia Quadro M620M,Windows 10,3.4kg,159786.72
470,Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8GB,128 SSD,Intel UHD Graphics 620,Windows 10,1.21kg,85194.72
471,Dell,Notebook,15.6,1366x768,Intel Core i5 7300U 2.6GHz,4GB,500 HDD,Intel HD Graphics 620,Windows 10,1.93kg,51095.52
472,Fujitsu,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1000 HDD,Intel HD Graphics 620,Windows 10,2.2kg,39373.92
473,Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4GB,500 HDD,Intel HD Graphics 505,Windows 10,2.2kg,18328.32
474,Lenovo,Notebook,14,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500 HDD,Intel HD Graphics 620,Windows 10,2.02kg,52747.2
475,HP,Workstation,17.3,1600x900,Intel Core i5 7440HQ 2.8GHz,8GB,500 HDD,Nvidia Quadro M1200,Windows 10,3.14kg,99153.5472
